"Country","Site","Latitude","Longitude","Exposure","Reef slope","Reef type","Reef zone","Year","Depth","Management name","Management secondary name","Management year established","Management size","Governance","Estimated compliance","Management rules","Transect number","Transect length surveyed","Assigned transect width (m)","Observers","Fish family","Fish genus","Fish taxon","Size","Count","Biomass constant a","Biomass constant b","Biomass kg/ha","Trophic group","Trophic level","Functional group","Vulnerability"
"Tonga","Kolonga FHR",-21.118898,-175.082472,"semi-exposed","slope","fringing","fore reef",2018,4,"Kolonga FHR","Fish Habitat Reserve",2015,70,NA,"full","no take",2,30,5,"Patrick Smallhorn-West","Acanthuridae","Ctenochaetus","Ctenochaetus binotatus",10,1,0.050728,2.744453,1.88,"omnivore",2,"detritivore",22.47
"Tonga","Kitu Island",-18.6827,-174.0665833,"sheltered","wall","fringing","fore reef",2024,6,"Open Access","Open",NA,0,NA,NA,"open access",4,30,5,"Lucy Southworth","Caesionidae","Caesio","Caesio caerulaurea",15,20,0.014513,2.971531,60.46,"planktivore",3.4,"planktivore",25.6
"Tonga","Fonoi FHR far",-20.2853,-174.642612,"exposed","slope","patch","fore reef",2018,6,"Fonoi FHR","Fish Habitat Reserve (FHR)",2017,191,NA,"full","no take",1,30,5,"Patrick Smallhorn-West","Labridae","Anampses","Anampses neoguinaicus",5,2,0.01,3.06,0.18,"invertivore-mobile",3.5,"micro-invertivore",34.69
"Tonga","Uonukuhihifo 4",-19.958642,-174.498436,"sheltered","slope","patch","fore reef",2018,6,"Open Access","Open",NA,0,NA,NA,"open access",3,30,2,"Patrick Smallhorn-West","Labridae","Coris","Coris dorsomacula",10,1,0.01,3.06,1.91,"invertivore-mobile",3.5,"micro-invertivore",37.49
"Tonga","Lotofoa 1",-19.731164,-174.302479,"semi-exposed","slope","fringing","fore reef",2024,4,"Open Access","Open",NA,0,NA,NA,"open access",1,30,5,"Lucy Southworth","Holocentridae","Neoniphon","Neoniphon sammara",20,1,0.00489,3.379,8.12,"piscivore",3.62,"pisci-invertivore",25.61
"Tonga","Pukotala FHR",-19.679751,-174.286715,"semi-exposed","slope","fringing","fore reef",2018,6,"Pukotala FHR","Fish Habitat Reserve",2018,23,NA,"full","no take",1,30,5,"Patrick Smallhorn-West","Acanthuridae","Ctenochaetus","Ctenochaetus striatus",20,10,0.01569,3.058599,99.74,"omnivore",2,"detritivore",18.05
"Tonga","Moungaone FHR",-19.644683,-174.488283,"exposed","slope","fringing","fore reef",2018,6,"Moungaone FHR","Fish Habitat Reserve",2018,180,NA,"full","no take",3,30,2,"Patrick Smallhorn-West","Labridae","Coris","Coris batuensis",2,1,0.00977,3.07,0.01,"invertivore-mobile",3.57,"micro-invertivore",10
"Tonga","Taunga SMA 3",-18.76951667,-174.00875,"sheltered","wall","fringing","fore reef",2017,6,"Taunga SMA","Special Management Area",2015,774,NA,"full","access restriction",4,30,5,"Patrick Smallhorn-West","Acanthuridae","Naso","Naso unicornis",32,1,0.0234,2.95,42.99,"herbivore-macroalgae",2.17,"browser",32
"Tonga","Euiki FHR 2",-21.124757,-174.984063,"exposed","slope","fringing","crest",2018,8,"Euiki Tongatapu FHR","Fish Habitat Reserve",2008,87,NA,"full","no take",2,30,2,"Patrick Smallhorn-West","Holocentridae","Myripristis","Myripristis",18,1,0.018744,3.069748,22.29,"planktivore",3.5,"planktivore",19.79
"Tonga","Nomuka Town 3",-20.262902,-174.803179,"semi-exposed","slope","fringing","fore reef",2018,6,"Nomuka SMA","Special Management Area",2011,6820,NA,"full","access restriction",1,30,5,"Patrick Smallhorn-West","Scaridae",NA,"Scaridae",15,10,0.015229,3.053183,39.57,"herbivore-detritivore",2.07,"scraper",32.32
"Tonga","Pangaimotu",-21.117974,-175.167165,"sheltered","wall","fringing","fore reef",2018,6,"Pangaimotu FHR","Fish Habitat Reserve",2017,140,NA,"full","no take",3,30,5,"Patrick Smallhorn-West","Scaridae","Scarus","Scarus globiceps",27,2,0.0162,3.09,57.2,"herbivore-detritivore",2,"scraper",32.39
"Tonga","Meama",-19.772167,-174.572333,"exposed","slope","fringing","fore reef",2018,8,"Open Access","Open",NA,0,NA,NA,"open access",4,30,2,"Patrick Smallhorn-West","Pomacentridae","Pycnochromis","Pycnochromis margaritifer",5,13,0.0166,2.97,4.28,"omnivore",2.95,"planktivore",29.2
"Tonga","Outer Islands 4",-18.83871667,-174.0099,"exposed","slope","fringing","fore reef",2017,6,"Open Access","Open",NA,0,NA,NA,"open access",2,30,2,"Patrick Smallhorn-West","Pomacentridae","Chrysiptera","Chrysiptera taupou",1,9,0.025773,2.867844,0.04,"planktivore",2.65,"planktivore",16.2
"Tonga","Uonukuhihifo 4",-19.958642,-174.498436,"sheltered","slope","patch","fore reef",2024,4,"Open Access","Open",NA,0,NA,NA,"open access",2,30,5,"Lucy Southworth","Labridae","Coris","Coris batuensis",12,1,0.00977,3.07,1.34,"invertivore-mobile",3.57,"micro-invertivore",10
"Tonga","Matafonua Bommie",-19.724087,-174.274592,"sheltered","flat","patch","back reef",2024,2,"Faleloa SMA",NA,NA,1588,NA,NA,"access restriction",3,30,5,"Lucy Southworth","Labridae","Gomphosus","Gomphosus varius",18,1,0.01838,2.70269,3.03,"invertivore-mobile",3.68,"micro-invertivore",43.72
"Tonga","Atata FHR 1",-21.048587,-175.261441,"sheltered","slope","fringing","fore reef",2018,4,"Atata FHR","Fish Habitat Reserve (FHR)",2008,154,NA,"full","no take",4,30,5,"Patrick Smallhorn-West","Scaridae","Scarus","Scarus rivulatus",24,1,0.0151,3.07,17.38,"omnivore",2,"scraper",39.3
"Tonga","Teaupa Isld",-19.973101,-174.733917,"semi-exposed","slope","fringing","fore reef",2018,6,"Open Access","Open",NA,0,NA,NA,"open access",1,30,5,"Patrick Smallhorn-West","Labridae","Coris","Coris aygula",18,1,0.00266,3.48857,4.25,"invertivore-mobile",3.73,"micro-invertivore",72.31
"Tonga","Golfcourse point",-18.7018,-173.9823333,"very sheltered","wall","fringing","fore reef",2017,6,"Open Access","Open",NA,0,NA,NA,"open access",4,30,2,"Patrick Smallhorn-West","Pomacentridae","Pomacentrus","Pomacentrus callainus",2,9,0.02344,2.99,0.28,"herbivore-detritivore",2.7,"cropper/grazer",21
"Tonga","Port au prince point",-19.764797,-174.348523,"semi-exposed","slope","fringing","fore reef",2018,6,"Koulo SMA",NA,NA,460,NA,NA,"access restriction",4,30,2,"Patrick Smallhorn-West","Pomacentridae","Chrysiptera","Chrysiptera taupou",3,5,0.025773,2.867844,0.5,"planktivore",2.65,"planktivore",16.2
"Tonga","Outer Islands 8",-18.81838333,-174.0849667,"exposed","slope","fringing","fore reef",2017,6,"Open Access","Open",NA,0,NA,NA,"open access",4,30,5,"Patrick Smallhorn-West","Balistidae","Balistapus","Balistapus undulatus",19,1,0.03548,3,16.22,"invertivore-mobile",3.37,"macro-invertivore",20
