"Country","Site","Latitude","Longitude","Exposure","Reef slope","Reef type","Reef zone","Year","Depth","Management name","Management secondary name","Management year established","Management size","Governance","Estimated compliance","Management rules","Transect number","Transect length surveyed","Assigned transect width (m)","Observers","Fish family","Fish genus","Fish taxon","Size","Count","Biomass constant a","Biomass constant b","Biomass kg/ha","Trophic group","Trophic level","Functional group","Vulnerability"
"Tonga","Luakapa Island",-18.6914,-174.0451833,"sheltered","slope","fringing","fore reef",2017,6,"Open Access","Open",NA,0,NA,NA,"open access",1,30,2,"Patrick Smallhorn-West","Pomacentridae","Chrysiptera","Chrysiptera taupou",1,2,0.025773,2.867844,0.01,"planktivore",2.65,"planktivore",16.2
"Tonga","Nomuka Iki Channel",-20.275322,-174.795366,"semi-exposed","slope","fringing","fore reef",2018,5,"Nomuka SMA","Special Management Area",2011,6820,NA,"full","access restriction",3,30,2,"Patrick Smallhorn-West","Pomacentridae","Pomacentrus","Pomacentrus vaiuli",4,17,0.0263,2.91,4.21,"planktivore",3.13,"planktivore",23.43
"Tonga","HTHH 3",-20.53401,-175.388031,"exposed","slope","fringing","crest",2018,5,"Open Access","Open",NA,0,NA,NA,"open access",3,30,2,"Patrick Smallhorn-West","Pomacentridae","Pycnochromis","Pycnochromis margaritifer",1,1,0.0166,2.97,0,"omnivore",2.95,"planktivore",29.2
"Tonga","Ovaka SMA 1 (Edge)",-18.75061667,-174.1004167,"exposed","flat","fringing","fore reef",2017,6,"Ovaka SMA","Special Management Area",2008,921,NA,"full","access restriction",1,30,2,"Patrick Smallhorn-West","Pomacentridae","Chromis","Chromis xanthura",7,1,0.0166,2.95,0.86,"planktivore",3.4,"planktivore",28.25
"Tonga","Utulei Site 1",-18.65438333,-173.9929333,"very sheltered","flat","fringing","fore reef",2017,4,"Utulei SMA","Special Management Area",2017,416,NA,"full","access restriction",1,50,2,"Patrick Smallhorn-West","Gobiidae","Amblyeleotris","Amblyeleotris steinitzi",7,12,0.00617,3.08,2.97,"invertivore-mobile",3.5,"micro-invertivore",30.38
"Tonga","Pangaimotu",-21.117974,-175.167165,"sheltered","slope","fringing","fore reef",2018,6,"Pangaimotu FHR","Fish Habitat Reserve",2017,140,NA,"full","no take",1,30,5,"Patrick Smallhorn-West","Acanthuridae","Zebrasoma","Zebrasoma velifer",10,1,0.0251,2.93,1.42,"herbivore-detritivore",2,"cropper/grazer",36.9
"Tonga","Mango FHR Close",-20.322517,-174.715159,"exposed","slope","fringing","fore reef",2018,4,"Mango FHR","Fish Habitat Reserve (FHR)",2017,278,NA,"full","no take",3,30,5,"Patrick Smallhorn-West","Mullidae","Parupeneus","Parupeneus multifasciatus",12,1,0.01288,3.1,1.9,"invertivore-mobile",3.61,"macro-invertivore",21.22
"Tonga","Matamaka Bommie 2",-18.71286667,-174.0724333,"sheltered","slope","patch","fore reef",2017,6,"Matamaka SMA","Special Management Area",2017,190,NA,"full","access restriction",1,30,5,"Patrick Smallhorn-West","Siganidae","Siganus","Siganus doliatus",10,2,0.0135,3.11,2.32,"herbivore-detritivore",2,"cropper/grazer",20.5
"Tonga","Pangaimotu",-21.117974,-175.167165,"sheltered","slope","fringing","fore reef",2024,4,"Pangaimotu FHR","Fish Habitat Reserve",2017,140,NA,"full","no take",4,30,1,"Lucy Southworth","Pomacentridae","Pomacentrus","Pomacentrus callainus",3,18,0.02344,2.99,3.76,"herbivore-detritivore",2.7,"cropper/grazer",21
"Tonga","Uonukuhihifo 3",-19.967095,-174.496117,"very sheltered","slope","fringing","fore reef",2018,3,"Open Access","Open",NA,0,NA,NA,"open access",2,30,5,"Patrick Smallhorn-West","Acanthuridae","Acanthurus","Acanthurus olivaceus",20,2,0.01897,3.055,23.86,"herbivore-detritivore",2.26,"detritivore",18.16
"Tonga","Atata FHR 2",-21.050587,-175.265363,"sheltered","slope","fringing","fore reef",2024,5,"Atata FHR","Fish Habitat Reserve (FHR)",2008,154,NA,"full","no take",2,30,5,"Lucy Southworth","Scaridae","Scarus","Scarus psittacus",11,10,0.0155,3.04,15.14,"omnivore",2,"excavator",21.1
"Tonga","Haafeva FHR 4",-19.942465,-174.702612,"very sheltered","flat","fringing","back reef",2018,1.5,"Haafeva FHR","Fish Habitat Reserve (FHR)",2007,139,NA,"full","no take",1,30,2,"Patrick Smallhorn-West","Pomacentridae","Stegastes","Stegastes nigricans",7,51,0.022,3.086,75.83,"omnivore",2.93,"cropper/grazer",12.75
"Tonga","Neiafu Anchorage",-18.65521667,-173.983,"very sheltered","flat","fringing","fore reef",2017,7,"Open Access","Open",NA,0,NA,NA,"open access",2,50,5,"Patrick Smallhorn-West","Acanthuridae","Ctenochaetus","Ctenochaetus striatus",16,1,0.01569,3.058599,3.02,"omnivore",2,"detritivore",18.05
"Tonga","Nuku Island",-18.71668333,-174.0449,"very sheltered","slope","fringing","fore reef",2017,6,"Open Access","Open",NA,0,NA,NA,"open access",4,30,5,"Patrick Smallhorn-West","Mullidae","Parupeneus","Parupeneus cyclostomus",13,2,0.0123,3.09,4.54,"piscivore",4.08,"pisci-invertivore",36.98
"Tonga","Fafa 3",-21.085524,-175.169633,"very sheltered","slope","fringing","fore reef",2018,4,"Fafa FHR","Fish Habitat Reserve",2015,159,NA,"full","no take",4,30,2,"Patrick Smallhorn-West","Pomacentridae","Chrysiptera","Chrysiptera taupou",3,10,0.025773,2.867844,1,"planktivore",2.65,"planktivore",16.2
"Tonga","Nomuka FHR 2",-20.269412,-174.789923,"semi-exposed","slope","fringing","fore reef",2018,4,"Nomuka FHR","Fish Habitat Reserve",2011,53,NA,"full","no take",3,30,2,"Patrick Smallhorn-West","Chaetodontidae","Chaetodon","Chaetodon mertensii",5,1,0.004261,3.800466,0.32,"invertivore-mobile",2.95,"micro-invertivore",10
"Tonga","Japanese Gardens",-18.69408333,-174.0245833,"sheltered","flat","patch","fore reef",2017,3,"Open Access","Open",NA,0,NA,NA,"open access",2,30,5,"Patrick Smallhorn-West","Mullidae","Mulloidichthys","Mulloidichthys vanicolensis",15,10,0.012151,2.961174,24.61,"invertivore-mobile",3.6,"macro-invertivore",23.19
"Tonga","Haafeva Bommie",-19.960709,-174.695525,"semi-exposed","slope","fringing","fore reef",2018,6,"Open Access","Open",NA,0,NA,NA,"open access",4,30,5,"Patrick Smallhorn-West","Scaridae","Scarus","Scarus niger",40,1,0.01549,3.04,76.6,"omnivore",2,"scraper",21
"Tonga","Luangahu 4",-19.884541,-174.445887,"sheltered","slope","patch","back reef",2024,3,"Open Access","Open",NA,0,NA,NA,"open access",2,30,5,"Lucy Southworth","Scaridae","Scarus","Scarus niger",20,1,0.01549,3.04,9.31,"omnivore",2,"scraper",21
"Tonga","Kotu FHR 2",-19.931778,-174.790155,"exposed","slope","barrier","fore reef",2018,4,"Kotu Large FHR","Fish Habitat Reserve (FHR)",2018,302,NA,"full","no take",4,30,2,"Patrick Smallhorn-West","Pomacentridae","Pomacentrus","Pomacentrus vaiuli",2,2,0.0263,2.91,0.07,"planktivore",3.13,"planktivore",23.43
"Tonga","Mango SMA Close",-20.329049,-174.720211,"exposed","wall","fringing","fore reef",2018,5,"Mango SMA","Special Management Area",2017,3975,NA,"full","access restriction",4,30,5,"Patrick Smallhorn-West","Acanthuridae","Ctenochaetus","Ctenochaetus striatus",12,1,0.01569,3.058599,2.09,"omnivore",2,"detritivore",18.05
"Tonga","Late 2",-18.80308,-174.61861,"exposed","slope","fringing","crest",2023,10,"Open Access","Open",NA,0,NA,NA,"open access",3,30,5,"Patrick Smallhorn-West","Zanclidae","Zanclus","Zanclus cornutus",12,1,0.0174,3.06,2.33,"omnivore",2.49,"micro-invertivore",13
"Tonga","Ovaka Outer Island Reef",-18.75395,-174.0730333,"semi-exposed","slope","fringing","fore reef",2017,6,"Open Access","Open",NA,0,NA,NA,"open access",4,30,5,"Patrick Smallhorn-West","Acanthuridae","Acanthurus","Acanthurus nigrofuscus",9,3,0.02512,2.96,3.35,"herbivore-detritivore",2,"cropper/grazer",27.14
"Tonga","Ata prison south",-21.05208,-175.02703,"sheltered","slope","patch","fore reef",2024,3,"Open Access","Open",NA,0,NA,NA,"open access",2,30,5,"Lucy Southworth","Labridae","Thalassoma","Thalassoma lutescens",18,1,0.00977,3.06,4.52,"invertivore-mobile",3.72,"micro-invertivore",20
"Tonga","Atata SMA 3",-21.05897,-175.247049,"semi-exposed","slope","fringing","fore reef",2018,5,"Atata SMA","Special Management Area",2008,840,NA,"full","access restriction",4,30,5,"Patrick Smallhorn-West","Scaridae","Scarus","Scarus ghobban",20,1,0.015696,3.016738,8.8,"herbivore-detritivore",2,"scraper",37.31
"Tonga","Uoleva outside",-19.862033,-174.418183,"exposed","slope","fringing","fore reef",2018,6,"Open Access","Open",NA,0,NA,NA,"open access",3,30,5,"Patrick Smallhorn-West","Scaridae","Calotomus","Calotomus carolinus",35,1,0.01259,3.11,53.21,"herbivore-detritivore",2,"browser",23.6
"Tonga","Oua FHR 4",-20.058652,-174.681969,"exposed","slope","fringing","fore reef",2018,6,"Oua FHR","Fish Habitat Reserve",2006,216,NA,"full","no take",3,30,5,"Patrick Smallhorn-West","Labridae","Anampses","Anampses neoguinaicus",7,1,0.01,3.06,0.26,"invertivore-mobile",3.5,"micro-invertivore",34.69
"Tonga","Nomuka Iki outside 2",-20.278124,-174.826073,"exposed","flat","fringing","fore reef",2018,7,"Nomuka SMA","Special Management Area",2011,6820,NA,"full","access restriction",1,30,5,"Patrick Smallhorn-West","Epinephelidae","Cephalopholis","Cephalopholis argus",25,1,0.011562,3.143294,19.1,"piscivore",4.48,"piscivore",48.76
